Dataset,Budget,Acc/AUC (%),Added edges,Train time (s)
Squirrel-F,10%,41.5,1328,24.01
Squirrel-F,25%,41.12,3382,23.26
Squirrel-F,50%,40.75,11013,22.99
Squirrel-F,75%,42.55,25718,31.15
Squirrel-F,100%,42.62,32481,32.81
Chameleon-F,10%,35.38,1117,2.86
Chameleon-F,25%,40.6,2982,3.32
Chameleon-F,50%,42.09,4454,3.63
Chameleon-F,75%,42.09,8101,4.25
Chameleon-F,100%,45.44,9903,6.93
Minesweeper,10%,71.02,1342,23.55
Minesweeper,25%,65.72,2475,17.84
Minesweeper,50%,84.48,4555,35.09
Minesweeper,75%,84.09,4935,35.21
Minesweeper,100%,83.28,10000,55.28
